Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels
4.35,nc73822026,806.0884386293848,,FALSE,,
4.4,us6000j8dw,1933.100742448872,,FALSE,,
4.4,ak022fo7wvld,2426.8429740852034,,FALSE,,
4.3,us6000j5p3,1016.0937530393094,,norecord,,
4.3,us6000j5ne,1017.4919826398495,,norecord,,
4.3,us6000j5my,1018.4158966171316,,norecord,,
4.3,us7000iskd,1940.0964786618276,,norecord,,
4.3,us7000is09,1922.6095910464185,,norecord,,
4.3,ak022f0tjq2y,2325.190733947604,,INCONCLUSIVE,,
4.3,ak022eh3regx,2432.3455723490342,,FALSE,,
4.3,us7000imyu,2335.3948548828603,,FALSE,,
4.4,ak022dlqyea8,2535.530906064382,,FALSE,,
4.4,ak022djyj1sr,2399.0052272109097,,FALSE,,
4.32,nc73796766,817.2781161314116,,FALSE,,
4.3,ak022dbpjlyw,2405.753838503313,,FALSE,,
4.3,ak022d3hm4tb,2534.4373068518416,,INCONCLUSIVE,,
4.4,ak022d0am9ta,2378.725565458992,,INCONCLUSIVE,,
4.3,ak022cyq6c4q,2540.251506467578,,FALSE,,
4.4,us6000ir0a,2027.1377224154674,,FALSE,,
4.3,ak022cn6hybw,2467.884144145861,,FALSE,,
4.3,us6000ipeh,2683.952177098047,,FALSE,,
4.3,us6000invq,2478.408489134975,,FALSE,,
4.4,us7000i9d9,1417.8331080213761,,FALSE,,
4.39,nc73781306,1020.1478821286521,,FALSE,,
4.4,ak022bq1181n,2509.3849609300987,,FALSE,,
4.4,ak022beea1dl,2299.8726229667163,,FALSE,,
4.4,tx2022rdfr,2362.5405478694793,,FALSE,,
4.4,ak022b2x7oak,2676.5789929839902,,FALSE,,
4.4,us7000i3dm,881.8722016799247,,FALSE,,
4.4,us6000ibfj,731.6126709550641,,norecord,,
4.3,us6000iakl,717.5572003881481,,INCONCLUSIVE,,
4.3,us6000i9du,730.6393068985279,,INCONCLUSIVE,,
4.45,nc73765585,1034.1559675758901,,FALSE,,
4.3,ak0229gyw936,2453.118255431893,,FALSE,,
4.4,us6000i2w5,2043.7732781999384,,FALSE,,
4.4,ak0228v89eiv,2225.4357848870045,,norecord,,
4.4,ak0228qeea2m,2148.226675400253,,norecord,,
4.4,ak0228iazqeb,2432.0542529242903,,norecord,,
4.4,us7000hhiy,699.8512876026825,,norecord,,
4.3,us7000hhir,679.3648363681505,,norecord,,
4.4,ak02279oo1os,2511.43410048874,,norecord,,
4.3,tx2022kzot,2323.6768091505514,,norecord,,
4.4,ak02271cjvho,2517.1998106909373,,FALSE,,
4.3,tx2022kras,2365.199371559005,,FALSE,,
4.3,ak0226pmqwk1,2380.918653885241,,norecord,,
4.4,ak0225vr9lag,2400.8570809354487,,FALSE,,
4.4,ak0225gzngj1,2504.2052231378143,,norecord,,
4.3,us7000h19g,2964.365007506224,,norecord,,
4.4,us7000h0vb,654.4744990671053,,FALSE,,
4.3,ak0223mx6yrz',2460.306781,,norecord,,
4.14,ci40151807,1659.1824417664818,,FALSE,,
4.16,nc73824236,800.0706876968305,,FALSE,TRUE,
4.2,us6000jb3s,2680.6119185109937,,FALSE,,
4.2,us6000j8mi,666.3592693597333,,TRUE,,
